,Variable,count,unique,top,freq,mean,std,min,25%,50%,75%,max,percent_empty
65,MD_EARN_WNE_INC3_P8,1727.0,,,,52374.07122177186,13085.609827187498,18985.0,43855.0,50054.0,57859.0,131176.0,96.43748581801678
66,MD_EARN_WNE_INDEP0_P10,1831.0,,,,49743.60786455489,14603.543168510894,18277.0,40423.5,47209.0,56553.0,131792.0,96.22295109020773
67,MD_EARN_WNE_INDEP0_P6,1860.0,,,,40724.43494623656,12392.698815979824,14982.0,32799.5,38828.0,45726.0,123262.0,96.16312890649174
68,MD_EARN_WNE_INDEP0_P8,1856.0,,,,45403.20096982759,13573.888078183409,15169.0,36758.5,43232.5,51521.0,125625.0,96.17138024217671
69,MD_EARN_WNE_INDEP1_P10,1600.0,,,,49128.36625,14359.889601916264,17297.0,39760.0,46970.0,55533.5,125815.0,96.6994657260144
70,MD_EARN_WNE_INDEP1_P6,1665.0,,,,43188.0990990991,13283.703804964709,14213.0,34445.0,41456.0,49494.0,124183.0,96.56538152113373
71,MD_EARN_WNE_INDEP1_P8,1629.0,,,,45993.87906691222,13608.668030780074,17187.0,37136.0,44269.0,52578.0,124841.0,96.63964354229842
72,MD_EARN_WNE_MALE0_P10,1816.0,,,,46217.3436123348,13817.49946883017,14594.0,37649.0,43778.5,52184.0,118912.0,96.25389359902634
73,MD_EARN_WNE_MALE0_P6,1848.0,,,,39535.757575757576,12400.864504274721,13746.0,31504.5,38036.0,44520.5,121022.0,96.18788291354663
74,MD_EARN_WNE_MALE0_P8,1829.0,,,,43177.16457080372,13372.752683107474,13608.0,34348.0,41418.0,48921.0,125849.0,96.22707675805022
75,MD_EARN_WNE_MALE1_P10,1784.0,,,,56604.01905829596,16246.223975368968,15475.0,47196.5,54361.5,64161.25,156181.0,96.31990428450605
76,MD_EARN_WNE_MALE1_P6,1830.0,,,,45493.639344262294,13812.13387886068,14499.0,37489.0,43341.0,50630.5,137831.0,96.22501392412897
77,MD_EARN_WNE_MALE1_P8,1815.0,,,,50695.304683195594,14794.079460031986,17295.0,41223.5,48702.0,57229.5,147121.0,96.25595643294758
78,MD_EARN_WNE_P10,13309.0,,,,44103.271245022166,12805.078560569307,11800.0,36400.0,42600.0,49585.0,186500.0,72.54574334220352
79,MD_EARN_WNE_P6,17095.0,,,,35877.94899093302,10704.1318011362,8400.0,29700.0,34400.0,40023.0,129420.0,64.7358541163851
80,MD_EARN_WNE_P8,15193.0,,,,40375.7028236688,11641.252449461968,11200.0,33500.0,38900.0,45200.0,125900.0,68.65936423458547
81,MENONLY,2041,2,No,1987,,,,,,,,95.78975596674711
